"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C13","C_0805","47.7238mm","3.3mm","47.7238mm","3.3mm","46.9738mm","3.3mm","T","0.00","22u"
"C12","C_0805","20.5238mm","3.3mm","20.5238mm","3.3mm","21.2738mm","3.3mm","T","180.00","22u"
"C11","C_0805","47.7238mm","28.3mm","47.7238mm","28.3mm","48.4738mm","28.3mm","T","180.00","22u"
"C10","C_0805","20.5238mm","28.3mm","20.5238mm","28.3mm","21.2738mm","28.3mm","T","180.00","22u"
"BAT1","BAT-HLD-001-THM","61.9mm","10.4496mm","61.9mm","10.4996mm","51.5mm","8.8996mm","T","270.00","3.3V"
"C1","C_0402","35.9238mm","10.9mm","35.9238mm","10.9mm","36.4238mm","10.9mm","T","180.00","100n"
"C2","C_0402","37.5238mm","10mm","37.5238mm","10mm","37.0238mm","10mm","T","360.00","100n"
"C3","C_0402","38.0238mm","10.9mm","38.0238mm","10.9mm","37.5238mm","10.9mm","T","360.00","100n"
"C4","C_0402","38.6238mm","12.4mm","38.6238mm","12.4mm","38.6238mm","12.9mm","T","270.00","100n"
"C5","C_0402","39.6238mm","18.05mm","39.6238mm","18.05mm","39.6238mm","17.55mm","T","90.00","100n"
"C23","C_0402","7.225mm","19.55mm","7.225mm","19.55mm","7.225mm","19.05mm","T","90.00","100n"
"IC1","QFN50P700X700-48W2L_CUSTOM","34.1238mm","15.8mm","34.1238mm","15.8mm","31.3738mm","12.35mm","T","90.00","MC9S08LL8CGT"
"IC2","BVMCN5103_Small","59.05mm","26.4496mm","53.3mm","29.6996mm","64.2mm","29.1496mm","T","360.00","BVMCN5103"
"LCD1","LCD_1209061_A1","34.1238mm","15.8mm","33.9mm","15.5156mm","23.1238mm","1.8mm","T","0.00","LCD"
"Q1","2SMD-ABS07","41.8238mm","15.8mm","41.8238mm","15.8mm","41.8238mm","17.05mm","T","90.00","ABS07-32.768KHZ-T"
"R4","R_0402","22.8mm","26.8mm","22.8mm","26.8mm","23.3mm","26.8mm","T","180.00","10k"
"R6","R_0402","22.8mm","25.8mm","22.8mm","25.8mm","23.3mm","25.8mm","T","180.00","10k"
"SW1","EVQ-Q2P02W","11.2002mm","4.5994mm","11.2mm","4.5996mm","8.3002mm","2.5994mm","T","0.00","Switch"
"Sen1","SHT3X","11.1996mm","19.55mm","11.1996mm","19.55mm","10.0246mm","20.3mm","T","180.00","SHT31"
"C6","C_0402","43.95mm","15.8mm","43.95mm","15.8mm","43.95mm","16.3mm","T","270.00","100n"
"C7","C_0402","47.05mm","24.725mm","47.05mm","24.725mm","47.5625mm","24.725mm","T","180.00","100n"
"C8","C_0402","47.05mm","23.25mm","47.05mm","23.25mm","47.5625mm","23.25mm","T","180.00","100n"

